Nr okr.;TERYT;Powiat;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu;;;;;
1;0201;bolesławiecki;64;70.926;54.373;23.478;30.895;20;212;8;8;-;-;-;-;8;30.898;8;2;30.896;1.025;738;259;-;29.871;10.132;7.818;1.053;1.822;1.170;2.865;2.874;2.137;;;;;;;;;;;;;;
2;0202;dzierżoniowski;81;84.099;64.274;26.546;37.728;33;212;33;33;-;-;2;-;31;37.746;31;72;37.674;1.189;818;321;-;36.485;12.334;10.498;1.317;1.511;821;3.712;3.264;2.679;349;;;;;;;;;;;;;
1;0203;głogowski;55;70.579;54.593;18.948;35.645;11;183;13;13;-;-;-;-;13;35.648;13;2;35.646;993;788;181;-;34.653;13.833;8.954;1.270;1.161;707;3.739;2.781;2.208;;;;;;;;;;;;;;
3;0204;górowski;26;28.362;21.699;10.935;10.763;4;52;8;8;-;-;-;-;8;10.768;8;-;10.768;433;303;129;-;10.335;3.472;3.158;330;351;930;600;963;446;;71;;;;14;;;;;;;;
1;0205;jaworski;39;42.026;32.255;14.083;18.172;5;102;10;10;-;-;-;-;10;18.182;10;1;18.181;550;427;115;-;17.631;6.572;3.706;574;756;1.413;1.607;1.900;1.103;;;;;;;;;;;;;;
1;0206;jeleniogórski;55;52.362;39.942;16.304;23.638;16;558;15;15;-;-;-;-;15;23.646;15;-;23.646;750;494;255;-;22.896;5.862;7.359;1.012;987;1.393;2.017;2.036;2.230;;;;;;;;;;;;;;
1;0207;kamiennogórski;34;36.143;27.761;11.724;16.037;8;85;6;6;-;-;-;-;6;16.041;6;-;16.041;609;453;136;-;15.432;4.847;5.205;578;597;336;1.442;1.455;972;;;;;;;;;;;;;;
2;0208;kłodzki;145;134.249;102.643;43.922;58.721;64;1.604;33;31;3;-;-;-;28;58.742;28;1;58.741;2.019;1.487;454;-;56.722;18.367;17.735;1.871;2.429;2.976;4.883;5.032;2.995;434;;;;;;;;;;;;;
1;0209;legnicki;46;43.338;33.050;13.866;19.184;14;93;12;11;-;-;-;-;11;19.193;11;1;19.192;671;521;134;-;18.521;6.816;4.025;671;835;1.431;1.378;1.924;1.441;;;;;;;;;;;;;;
1;0210;lubański;46;45.544;34.856;15.491;19.365;13;240;16;16;-;-;-;-;16;19.378;16;-;19.378;606;413;187;-;18.772;5.892;4.941;805;841;762;2.387;1.951;1.193;;;;;;;;;;;;;;
